customer_state,orders,customers,revenue,aov,avg_delivery_days,avg_review_score
SP,40501,39156,5769703.15,142.45828868423,8.761385996084925,4.246550625315555
RJ,12350,11917,2055401.57,166.4292769230769,15.30943754217274,3.9651407201157425
MG,11354,11001,1818891.67,160.19831513123128,12.008665646060452,4.19246787771378
RS,5345,5168,861472.79,161.1735809167446,15.300276192406853,4.1857518302984795
PR,4923,4769,781708.8,158.78708104814137,11.991582227413275,4.239591836734694
SC,3546,3449,595127.78,167.83073322053016,14.954782876767771,4.133276499005399
BA,3256,3158,591137.81,181.55338144963144,19.335465824489262,3.930009290802106
DF,2080,2019,346123.35,166.40545673076923,12.967568108974358,4.133816425120773
GO,1957,1895,334212.35,170.77789984670414,15.606338535456764,4.10431654676259
ES,1995,1928,317657.93,159.22703258145364,15.789307110368513,4.079735906551549
PE,1593,1551,308972.05,193.95608913998745,18.448322994408407,4.082963901203294
CE,1279,1258,266436.77,208.31647380766225,21.26657863492891,3.941869599371563
PA,946,922,212023.57,224.1263953488372,23.77291691136168,3.909967845659164
MT,886,856,181224.42,204.5422347629797,18.05575601172561,4.146188850967008
MA,717,700,147803.55,206.14163179916318,21.572976474120566,3.833567415730337
PB,517,504,137838.55,266.61228239845263,20.426767609606706,4.076171875
MS,701,681,134367.55,191.67981455064194,15.618319018465684,4.160228898426324
PI,476,464,105178.19,220.96258403361344,19.45709826291628,3.9936305732484074
RN,474,464,100714.78,212.4784388185654,19.27815620604782,4.149681528662421
AL,397,387,94172.49,237.21030226700253,24.543855361974064,3.8527918781725887
SE,335,329,70289.13,209.81829850746269,21.519788280818133,3.907185628742515
TO,274,267,60007.37,219.005,17.65806260982698,4.153846153846154
RO,243,231,56966.0,234.42798353909464,19.37203651310776,4.1652892561983474
AM,145,140,27585.47,190.24462068965516,26.42599090038314,4.243055555555555
AC,80,76,19575.33,244.691625,21.035712962962965,4.0875
AP,67,66,16141.81,240.92253731343283,27.185067716970703,4.242424242424242
RR,41,40,9039.52,220.4760975609756,29.387546014001806,3.902439024390244
