month,orders,customers,revenue,freight_revenue,aov
2016-09-01,1,1,134.97,8.49,143.46
2016-10-01,265,262,40325.11,6165.55,175.43645283018867
2016-12-01,1,1,10.9,8.72,19.62
2017-01-01,750,718,111798.36,15684.01,169.97649333333334
2017-02-01,1653,1630,234223.4,37015.92,164.08912280701753
2017-03-01,2546,2508,359198.85,55132.1,162.73800078554595
2017-04-01,2303,2274,340669.68,50142.72,169.69709075119408
2017-05-01,3546,3479,489338.25,77513.15,159.85657078398197
2017-06-01,3135,3076,421923.37,68127.0,156.31590749601276
2017-07-01,3872,3802,481604.52,84694.56,146.2549276859504
2017-08-01,4193,4114,554699.7,91132.66,154.02632005723825
2017-09-01,4150,4083,607399.67,93677.82,168.93433493975903
2017-10-01,4478,4417,648247.65,102869.36,167.73492853952658
2017-11-01,7289,7183,987765.37,165598.83,158.23352997667718
2017-12-01,5513,5450,726033.19,117045.1,152.92550154181026
2018-01-01,7069,6974,924645.0,153242.46,152.4808968736738
2018-02-01,6555,6400,826437.13,139731.28,147.39411289092297
2018-03-01,7003,6914,953356.25,167241.99,160.01688419248893
2018-04-01,6798,6744,973534.09,159344.84,166.64885701676963
2018-05-01,6749,6693,977544.69,151229.83,167.2506326863239
2018-06-01,6099,6061,856077.86,155900.43,165.9252811936383
2018-07-01,6159,6100,867953.46,159853.82,166.8789219029063
2018-08-01,6351,6310,838576.64,146915.0,155.17109746496615
2018-09-01,0,0,,,
2018-10-01,0,0,,,
